Mã số sinh viên;Họ;Tên;Lớp;Điểm
N25DCAT294;Phạm Hữu;Phước;D25CQAT03-N;7.5
N25DCCN295;Ngô Thị;Thanh;D25CQCN05-N;7
N25DCDK296;Bùi Hồng;Tâm;D25CQDK04-N;8
N25DCAT297;Trịnh Văn;Hòa;D25CQAT04-N;7.2
N25DCCN298;Đỗ Thị;Hường;D25CQCN06-N;6.8
N25DCDK299;Phan Văn;Tình;D25CQDK05-N;7.6
N25DCAT300;Lê Hữu;Khoa;D25CQAT05-N;7.1
N20DCCN301;Nguyễn Thị;Mai;D20CQCN01-N;7.4
N21DCDK302;Trần Văn;Khánh;D21CQDK01-N;6.8
N22DCAT303;Phạm Hữu;Dũng;D22CQAT01-N;7.5
N23DCCN304;Lê Thị;Thảo;D23CQCN01-N;7.9
N24DCDK305;Bùi Minh;Khang;D24CQDK01-N;7.2
N25DCAT306;Ngô Văn;Nghĩa;D25CQAT01-N;8
N20DCCN307;Đặng Hồng;Yến;D20CQCN02-N;7.1
N21DCDK308;Phan Văn;Hưng;D21CQDK02-N;7.7
N22DCAT309;Trịnh Minh;Tú;D22CQAT02-N;6.9
N23DCCN310;Vũ Thị;Quỳnh;D23CQCN02-N;7.3
N24DCDK311;Hoàng Văn;Toản;D24CQDK03-N;8.1
N25DCAT312;Đỗ Thị;Trúc;D25CQAT02-N;7.6
N20DCCN313;Nguyễn Hữu;Khanh;D20CQCN03-N;6.7
N21DCDK314;Lê Văn;Trung;D21CQDK04-N;7.5
N22DCAT315;Phạm Thị;Tuyết;D22CQAT03-N;7.2
N23DCCN316;Trần Quốc;Đạt;D23CQCN04-N;7.8
N24DCDK317;Bùi Thị;Thuỷ;D24CQDK05-N;6.9
N25DCAT318;Ngô Văn;Cường;D25CQAT03-N;8.3
N20DCCN319;Đặng Minh;Phú;D20CQCN05-N;7
N21DCDK320;Lý Thị;Oanh;D21CQDK01-N;7.6
N22DCAT321;Nguyễn Văn;Trung;D22CQAT04-N;7.4
N23DCCN322;Trịnh Thị;Bích;D23CQCN06-N;7.9
N24DCDK323;Phạm Văn;Quyết;D24CQDK02-N;6.8
N25DCAT324;Vũ Hữu;Thịnh;D25CQAT04-N;7.7
N20DCCN325;Lê Thị;Kim;D20CQCN07-N;7.1
N21DCDK326;Đỗ Văn;Chí;D21CQDK03-N;8
N22DCAT327;Ngô Thị;Thuý;D22CQAT05-N;7.3
N23DCCN328;Bùi Minh;Hải;D23CQCN08-N;6.7
N24DCDK329;Trần Thị;Trang;D24CQDK04-N;7.8
N25DCAT330;Phan Hữu;Tường;D25CQAT05-N;7.5
N20DCCN331;Đặng Văn;Hoà;D20CQCN09-N;7
N21DCDK332;Nguyễn Hồng;Loan;D21CQDK05-N;7.6
N22DCAT333;Lê Minh;Khoa;D22CQAT01-N;8.2
N23DCCN334;Hoàng Thị;Hằng;D23CQCN10-N;7.4
N24DCDK335;Vũ Văn;Thành;D24CQDK01-N;6.9
N25DCAT336;Trịnh Thị;Tâm;D25CQAT06-N;7.1
N20DCCN337;Phan Quốc;Cường;D20CQCN10-N;7.3
N21DCDK338;Bùi Hữu;Phúc;D21CQDK02-N;8
N22DCAT339;Ngô Văn;Tài;D22CQAT02-N;7.7
N23DCCN340;Đỗ Thị;Vân;D23CQCN11-N;7.5
N24DCDK341;Trần Văn;Nam;D24CQDK03-N;6.8
N25DCAT342;Phạm Hữu;Nghị;D25CQAT07-N;7.9
N20DCCN343;Lê Hồng;Minh;D20CQCN11-N;7.2
N21DCDK344;Hoàng Thị;Thảo;D21CQDK04-N;7
N22DCAT345;Đặng Minh;Toàn;D22CQAT03-N;8.1
N23DCCN346;Nguyễn Văn;Bách;D23CQCN12-N;7.6
N24DCDK347;Vũ Thị;Hạnh;D24CQDK05-N;6.9
N25DCAT348;Trần Văn;Hiệp;D25CQAT08-N;7.3
N20DCCN349;Lý Minh;Trí;D20CQCN12-N;7.8
N21DCDK350;Phan Hữu;Đức;D21CQDK01-N;7.4
N22DCAT351;Ngô Văn;Duy;D22CQAT04-N;6.7
N23DCCN352;Bùi Văn;Khánh;D23CQCN13-N;7.9
N24DCDK353;Trịnh Thị;Kim;D24CQDK02-N;7.1
N25DCAT354;Đỗ Thị;Bình;D25CQAT09-N;8
N20DCCN355;Hoàng Văn;Sơn;D20CQCN13-N;7.5
N21DCDK356;Lê Văn;Phúc;D21CQDK03-N;7.2
N22DCAT357;Phạm Minh;Khoa;D22CQAT05-N;6.8
N23DCCN358;Nguyễn Hữu;Thắng;D23CQCN14-N;7.6
N24DCDK359;Đặng Hồng;Phát;D24CQDK04-N;7
N25DCAT360;Trần Quốc;Hưng;D25CQAT10-N;8.3
N20DCCN361;Phan Thị;Nhung;D20CQCN14-N;7.3
N21DCDK362;Ngô Văn;Kiên;D21CQDK05-N;7.9
N22DCAT363;Bùi Thị;Tuyết;D22CQAT06-N;6.9
N23DCCN364;Lý Minh;Tú;D23CQCN15-N;7.7
N24DCDK365;Trần Thị;Hồng;D24CQDK01-N;7.2
N25DCAT366;Đỗ Hữu;Khải;D25CQAT11-N;7.5
N20DCCN367;Nguyễn Văn;Sỹ;D20CQCN15-N;6.8
N21DCDK368;Vũ Minh;Toàn;D21CQDK02-N;7.6
N22DCAT369;Hoàng Thị;Yến;D22CQAT07-N;7
N23DCCN370;Phạm Văn;Long;D23CQCN16-N;7.8
N24DCDK371;Đặng Hữu;Tín;D24CQDK03-N;7.4
N25DCAT372;Ngô Minh;Hiếu;D25CQAT12-N;6.7
N20DCCN373;Bùi Văn;Thành;D20CQCN16-N;7.9
N21DCDK374;Trịnh Hồng;Tâm;D21CQDK04-N;7.1
N22DCAT375;Lê Thị;Mai;D22CQAT08-N;8
N23DCCN376;Đỗ Văn;Tiến;D23CQCN17-N;7.3
N24DCDK377;Phan Minh;Trí;D24CQDK05-N;7.5
N25DCAT378;Nguyễn Thị;Phượng;D25CQAT13-N;6.9
N20DCCN379;Vũ Quốc;Anh;D20CQCN17-N;8.2
N21DCDK380;Hoàng Văn;Sang;D21CQDK01-N;7.6
N22DCAT381;Lý Thị;Kim;D22CQAT09-N;7.3
N23DCCN382;Trần Văn;Tài;D23CQCN18-N;6.7
N24DCDK383;Đặng Văn;Hiếu;D24CQDK02-N;7.9
N25DCAT384;Phạm Hữu;Phước;D25CQAT14-N;7.5
N20DCCN385;Ngô Thị;Thanh;D20CQCN18-N;7
N21DCDK386;Bùi Hồng;Tâm;D21CQDK03-N;8
N22DCAT387;Trịnh Văn;Hòa;D22CQAT10-N;7.2
N23DCCN388;Đỗ Thị;Hường;D23CQCN19-N;6.8
N24DCDK389;Phan Văn;Tình;D24CQDK04-N;7.6
N25DCAT390;Lê Hữu;Khoa;D25CQAT15-N;7.1
N20DCCN391;Trần Văn;Hưng;D20CQCN19-N;7.3
N21DCDK392;Nguyễn Minh;Quang;D21CQDK05-N;6.7
N22DCAT393;Bùi Quốc;Việt;D22CQAT11-N;8.1
N23DCCN394;Phan Thị;Ngọc;D23CQCN20-N;7.4
N24DCDK395;Trịnh Văn;Dũng;D24CQDK01-N;7.6
N25DCAT396;Ngô Thị;Thuỳ;D25CQAT16-N;7
N20DCCN397;Đỗ Văn;Cường;D20CQCN20-N;7.8
N21DCDK398;Lê Văn;Bình;D21CQDK02-N;7.2
N22DCAT399;Phạm Hữu;Tín;D22CQAT12-N;6.9
N23DCCN400;Trần Thị;Tuyết;D23CQCN01-N;7.7
N24DCDK401;Nguyễn Thị;Hằng;D24CQDK02-N;7.2
N25DCAT402;Phan Văn;Sơn;D25CQAT17-N;6.9
N20DCCN403;Lê Hữu;Phong;D20CQCN01-N;7.5
N21DCDK404;Trần Văn;Lâm;D21CQDK03-N;8
N22DCAT405;Đặng Thị;Ngân;D22CQAT13-N;7.3
N23DCCN406;Ngô Minh;Khoa;D23CQCN02-N;7
N24DCDK407;Bùi Văn;Trường;D24CQDK03-N;6.8
N25DCAT408;Vũ Thị;Tâm;D25CQAT18-N;7.7
N20DCCN409;Phạm Văn;Đạt;D20CQCN02-N;7.1
N21DCDK410;Nguyễn Hữu;Nghĩa;D21CQDK04-N;7.9
N22DCAT411;Lê Văn;Quyết;D22CQAT14-N;6.7
N23DCCN412;Trần Thị;Tươi;D23CQCN03-N;7.4
N24DCDK413;Đỗ Minh;Khang;D24CQDK01-N;7.5
N25DCAT414;Phan Thị;Mai;D25CQAT19-N;8.1
N20DCCN415;Ngô Văn;Tú;D20CQCN03-N;7.6
N21DCDK416;Bùi Minh;Hiếu;D21CQDK05-N;6.9
N22DCAT417;Trịnh Hồng;Quang;D22CQAT01-N;7
N23DCCN418;Vũ Văn;Tín;D23CQCN04-N;8
N24DCDK419;Phạm Hữu;Bình;D24CQDK02-N;7.2
N25DCAT420;Lý Thị;Thủy;D25CQAT20-N;7.3
N20DCCN421;Trần Quốc;Thắng;D20CQCN04-N;6.7
N21DCDK422;Đặng Văn;Toàn;D21CQDK02-N;7.8
N22DCAT423;Nguyễn Minh;Trí;D22CQAT15-N;7.5
N23DCCN424;Lê Hữu;Nhân;D23CQCN05-N;6.9
N24DCDK425;Hoàng Thị;Kim;D24CQDK03-N;7.3
N25DCAT426;Đỗ Văn;Thiện;D25CQAT01-N;7
N20DCCN427;Phan Thị;Bích;D20CQCN05-N;7.9
N21DCDK428;Ngô Thị;Diễm;D21CQDK01-N;7.1
N22DCAT429;Bùi Văn;Tài;D22CQAT16-N;7.2
N23DCCN430;Trịnh Hữu;Hưng;D23CQCN06-N;8.2
N24DCDK431;Vũ Thị;Mai;D24CQDK04-N;7.6
N25DCAT432;Phạm Văn;Thành;D25CQAT02-N;7.4
N20DCCN433;Lê Thị;Trang;D20CQCN06-N;6.8
N21DCDK434;Trần Văn;Bảo;D21CQDK03-N;7.7
N22DCAT435;Đặng Minh;Hoàng;D22CQAT17-N;7.3
N23DCCN436;Nguyễn Hồng;Sơn;D23CQCN07-N;7.5
N24DCDK437;Phan Thị;Hà;D24CQDK01-N;6.9
N25DCAT438;Hoàng Văn;Tiến;D25CQAT03-N;7.1
N20DCCN439;Bùi Văn;Phúc;D20CQCN07-N;7
N21DCDK440;Ngô Minh;Hậu;D21CQDK04-N;7.8
N22DCAT441;Trần Quốc;Lợi;D22CQAT18-N;6.7
N23DCCN442;Đỗ Hữu;Quân;D23CQCN08-N;7.9
N24DCDK443;Lý Minh;Nhựt;D24CQDK02-N;7.2
N25DCAT444;Nguyễn Văn;Quang;D25CQAT04-N;8
N20DCCN445;Trịnh Văn;Duy;D20CQCN08-N;7.1
N21DCDK446;Phan Thị;Cẩm;D21CQDK05-N;7.4
N22DCAT447;Vũ Minh;Trung;D22CQAT19-N;6.8
N23DCCN448;Lê Văn;Hải;D23CQCN09-N;7.3
N24DCDK449;Đặng Hồng;Sâm;D24CQDK03-N;7.6
N25DCAT450;Phạm Minh;Tùng;D25CQAT05-N;7
N20DCCN451;Nguyễn Văn;Tâm;D20CQCN09-N;7.8
N21DCDK452;Bùi Thị;Mơ;D21CQDK01-N;6.9
N22DCAT453;Hoàng Văn;Chiến;D22CQAT01-N;7.7
N23DCCN454;Phan Hữu;Đức;D23CQCN10-N;7
N24DCDK455;Ngô Thị;Huệ;D24CQDK04-N;8.1
N25DCAT456;Trần Văn;Tuấn;D25CQAT06-N;7.2
N20DCCN457;Lê Minh;Hùng;D20CQCN10-N;7.3
N21DCDK458;Trịnh Thị;Loan;D21CQDK02-N;7.5
N22DCAT459;Nguyễn Hữu;Trọng;D22CQAT20-N;7.9
N23DCCN460;Phạm Văn;Trường;D23CQCN11-N;6.8
N24DCDK461;Đỗ Minh;Quang;D24CQDK05-N;7.6
N25DCAT462;Bùi Văn;Ninh;D25CQAT07-N;7
N20DCCN463;Trần Hồng;Thắm;D20CQCN11-N;7.4
N21DCDK464;Hoàng Thị;Thuỳ;D21CQDK03-N;6.7
N22DCAT465;Lý Quốc;Khánh;D22CQAT02-N;7.8
N23DCCN466;Ngô Minh;Quân;D23CQCN12-N;7.5
N24DCDK467;Phan Văn;Cảnh;D24CQDK01-N;7.1
N25DCAT468;Vũ Thị;Hạnh;D25CQAT08-N;6.9
N20DCCN469;Đặng Văn;Hoàng;D20CQCN12-N;7
N21DCDK470;Nguyễn Minh;Đạt;D21CQDK04-N;8
N22DCAT471;Trần Văn;Sơn;D22CQAT03-N;7.3
N23DCCN472;Bùi Thị;Tuyết;D23CQCN13-N;7.6
N24DCDK473;Ngô Hồng;Phát;D24CQDK02-N;7.2
N25DCAT474;Lê Văn;Thành;D25CQAT09-N;6.8
N20DCCN475;Phan Hữu;Nghĩa;D20CQCN13-N;7.9
N21DCDK476;Trịnh Minh;Đức;D21CQDK05-N;7.1
N22DCAT477;Đỗ Văn;Khánh;D22CQAT04-N;7.4
N23DCCN478;Lý Văn;Phong;D23CQCN14-N;6.9
N24DCDK479;Phạm Hữu;Dũng;D24CQDK03-N;7.7
N25DCAT480;Hoàng Thị;Tú;D25CQAT10-N;7.3
N20DCCN481;Ngô Văn;Kỳ;D20CQCN14-N;7
N21DCDK482;Vũ Quốc;Bình;D21CQDK01-N;8.1
N22DCAT483;Trần Minh;Đạt;D22CQAT05-N;6.7
N23DCCN484;Đặng Thị;Kim;D23CQCN15-N;7.8
N24DCDK485;Bùi Hồng;Minh;D24CQDK04-N;7.5
N25DCAT486;Nguyễn Thị;Thảo;D25CQAT11-N;7.2
N20DCCN487;Lê Văn;Tiến;D20CQCN15-N;7.4
N21DCDK488;Phan Thị;Dung;D21CQDK02-N;7.6
N22DCAT489;Nguyễn Hữu;Hiếu;D22CQAT06-N;7.9
N23DCCN490;Trần Quốc;Toàn;D23CQCN16-N;7.3
N24DCDK491;Đỗ Văn;Kiên;D24CQDK05-N;6.8
N25DCAT492;Phạm Minh;Thịnh;D25CQAT12-N;7
N20DCCN493;Trịnh Thị;Mai;D20CQCN16-N;8
N21DCDK494;Ngô Minh;Huy;D21CQDK03-N;7.2
N22DCAT495;Vũ Văn;Dương;D22CQAT07-N;7.1
N23DCCN496;Hoàng Văn;Hoài;D23CQCN17-N;6.7
N24DCDK497;Lý Hữu;Hậu;D24CQDK01-N;7.8
N25DCAT498;Bùi Văn;Hùng;D25CQAT13-N;7.6
N20DCCN499;Đặng Minh;Châu;D20CQCN17-N;7.3
N21DCDK500;Nguyễn Văn;Hải;D21CQDK04-N;7
N26DCKT766;Phạm;Thu Chi;D26CQKT02-N;5.4
N26DCDK901;Nguyễn;Minh An;D26CQDK02-N;7.6
N26DCKT972;Bùi;Thu Nam;D26CQKT03-N;9.6
N26DCAT362;Đỗ;Thúy Khôi;D26CQAT03-N;5.9
N26DCTT718;Hoàng;Minh Chi;D26CQTT01-N;6
N26DCCN514;Lê;Đức Hà;D26CQCN04-N;7.4
N26DCPT748;Hồ;Quang My;D26CQPT01-N;7.9
N26DCCN371;Nguyễn;Quang Bình;D26CQCN01-N;8.2
N26DCCN722;Vũ;Quang Tú;D26CQCN01-N;5.8
N26DCTT080;Bùi;Hồng Nam;D26CQTT01-N;5.3
N26DCKT108;Nguyễn;Kim Nam;D26CQKT02-N;9.5
N26DCPT776;Hoàng;Văn An;D26CQPT02-N;5.8
N26DCAT589;Phạm;Thúy My;D26CQAT05-N;6.5
N26DCKT971;Lê;Thu Giang;D26CQKT05-N;9
N26DCDK954;Trần;Thu Giang;D26CQDK02-N;9.9
N26DCAT854;Phạm;Văn Bình;D26CQAT01-N;6.3
N26DCPT161;Lê;Văn Bình;D26CQPT05-N;7.1
N26DCPT854;Bùi;Đức Tú;D26CQPT03-N;9.4
N26DCAT269;Đặng;Anh Tú;D26CQAT03-N;8.4
N26DCTT304;Vũ;Văn Tú;D26CQTT02-N;7.6
N26DCPT541;Trần;Kim Linh;D26CQPT01-N;5.1
N26DCAT563;Lê;Anh An;D26CQAT01-N;5.4
N26DCDK397;Lê;Thị Linh;D26CQDK01-N;8.4
N26DCPT459;Bùi;Thúy Chi;D26CQPT04-N;9
N26DCKT229;Hoàng;Văn Khôi;D26CQKT01-N;8.4
N26DCDK654;Đỗ;Kim Chi;D26CQDK02-N;9.2
N26DCPT683;Hồ;Văn Hà;D26CQPT04-N;9.5
N26DCTT644;Phạm;Quang Chi;D26CQTT02-N;7.7
N26DCKT380;Đặng;Hồng Giang;D26CQKT02-N;5.9
N26DCCN429;Đặng;Kim Linh;D26CQCN01-N;6.5
N26DCAT558;Đỗ;Thu Chi;D26CQAT02-N;7.7
N26DCPT716;Hoàng;Hồng Giang;D26CQPT01-N;5
N26DCAT050;Phạm;Thu Chi;D26CQAT02-N;9.1
N26DCDK539;Trần;Minh Hà;D26CQDK05-N;8.1
N27DCCN007;Ngô Vân;Anh;D27CQCN01-N;7.2
N27DCCN123;Trần Thụy Kim;Hoa;D27CQCN03-N;8.5
N27DCCN456;Lê Hồng;Minh;D27CQCN02-N;6.7
N27DCAT101;Đặng Thị Thu;Hương;D27CQAT01-N;8
N27DCCN234;Nguyễn Văn;An;D27CQCN04-N;7.4
N27DCDK321;Trần Thị Mai;Lan;D27CQDK02-N;6.8
N27DCCN654;Lê Thị Kim;Hoa;D27CQCN05-N;8.3
N27DCAT987;Phạm Trần Đức;Minh;D27CQAT03-N;7.1
N27DCDK852;Hoàng Văn;Quân;D27CQDK02-N;6.5
N27DCCN111;Nguyễn Thị;Hoa;D27CQCN06-N;7.7
N27DCCN333;Nguyễn Văn;Bình;D27CQCN07-N;6.9
N27DCDK456;Trần Thị Mai;Hoa;D27CQDK04-N;7.8
N27DCDK777;Lê Thị Kim;Hoa;D27CQDK06-N;8.6
N27DCAT222;Phạm Hữu;Minh;D27CQAT05-N;7.3
N27DCAT888;Lê Hữu;Minh;D27CQAT04-N;6.8
N27DCCN999;Hoàng Văn;Quân;D27CQCN08-N;7
N27DCDK444;Hoàng Văn;Quân;D27CQDK03-N;6.7
N27DCCN555;Phan Hữu;Bảo;D27CQCN09-N;8.4
N27DCCN321;Nguyễn Thị;Hoa;D27CQCN11-N;7.5
N27DCDK319;Nguyễn Thị;Hoa;D27CQDK05-N;7.5
N27DCCN678;Lê Hoài Thanh;Phương;D27CQCN07-N;6.3
N27DCDK789;Phạm Văn;Huy;D27CQDK06-N;6.3
N27DCCN001;Nguyễn Văn;Hùng;D27CQCN01-N;7.8
N27DCCN002;Trần Thị;Thảo;D27CQCN02-N;8.1
N27DCCN003;Lê Văn;Tâm;D27CQCN03-N;6.9
N27DCDK004;Phạm Thị;Linh;D27CQDK04-N;7.4
N27DCAT005;Đặng Văn;Quang;D27CQAT02-N;8.2
N27DCCN006;Ngô Thị;Mai;D27CQCN04-N;7.6
N27DCDK008;Lê Thị;Thu;D27CQDK01-N;7.9
N27DCCN009;Trần Văn;Đức;D27CQCN05-N;8
N27DCAT010;Phạm Thị;Hồng;D27CQAT01-N;7.3
N27DCCN011;Nguyễn Văn;Long;D27CQCN02-N;6.7
N27DCDK012;Lê Thị;Ngọc;D27CQDK03-N;8.4
N27DCCN013;Trần Văn;Khánh;D27CQCN04-N;7.1
N27DCAT014;Phạm Hữu;Tài;D27CQAT06-N;6.5
N27DCCN015;Ngô Văn;Tuấn;D27CQCN06-N;7.7
N27DCDK016;Hoàng Thị;Lan;D27CQDK05-N;8.3
N27DCCN017;Lê Văn;Phúc;D27CQCN03-N;6.9
N27DCAT018;Đặng Thị;Thúy;D27CQAT01-N;7.5
N27DCCN019;Trần Văn;Bình;D27CQCN08-N;8
N27DCDK020;Phạm Thị;Yến;D27CQDK02-N;7.2
N27DCCN021;Nguyễn Văn;Hòa;D27CQCN07-N;6.8
N27DCAT022;Lê Thị;Hương;D27CQAT02-N;7.9
N27DCCN023;Hoàng Văn;Nam;D27CQCN05-N;8.1
N27DCDK024;Trần Thị;Mai;D27CQDK07-N;7
N27DCCN025;Phạm Văn;Tùng;D27CQCN09-N;6.6
N27DCAT026;Ngô Thị;Thảo;D27CQAT07-N;8.2
N27DCCN027;Lê Văn;Quý;D27CQCN08-N;7.4
N27DCDK028;Trần Thị;Linh;D27CQDK07-N;6.9
N27DCCN029;Phạm Hữu;Đạt;D27CQCN09-N;7.8
N27DCAT030;Đặng Văn;Hùng;D27CQAT02-N;8
N27DCCN031;Nguyễn Thị;Ngọc;D27CQCN10-N;7.3
N27DCDK032;Lê Văn;Tài;D27CQDK03-N;6.7
N27DCCN033;Trần Thị;Thúy;D27CQCN10-N;8.1
N27DCAT034;Phạm Văn;Phong;D27CQAT03-N;7.5
N27DCCN035;Hoàng Thị;Mai;D27CQCN10-N;6.8
N27DCDK036;Ngô Văn;Long;D27CQDK08-N;7.9
N27DCCN037;Lê Thị;Hồng;D27CQCN11-N;8.3
N27DCAT038;Trần Văn;Quang;D27CQAT08-N;7.2
N27DCCN039;Phạm Thị;Lan;D27CQCN11-N;6.9
N27DCDK040;Nguyễn Văn;Tâm;D27CQDK08-N;8
N27DCCN041;Đặng Thị;Thảo;D27CQCN12-N;7.4
N27DCAT042;Lê Văn;Khánh;D27CQAT03-N;6.8
N27DCCN043;Trần Thị;Yến;D27CQCN12-N;7.7
N27DCDK044;Phạm Hữu;Nam;D27CQDK04-N;8.2
N27DCCN045;Ngô Văn;Phúc;D27CQCN12-N;7.1
N27DCAT046;Hoàng Thị;Thu;D27CQAT04-N;6.6
N27DCCN047;Lê Văn;Đức;D27CQCN13-N;8
N26DCCN264;Bùi Thu;Nam;D26CQCN05-N;0
N26DCCN635;Hồ Văn;Nam;D26CQCN02-N;0
N26DCDK289;Đặng Thu;Dương;D26CQDK05-N;0
N26DCCN873;Bùi Hồng;Dương;D26CQCN04-N;0
N23DCCN102;Mô Ha Mách Bu Ba;Ka;D23CQCN03-N;1
N23DCCN888;Đinh Thị Nguyệt;Thanh;D23CQCN03-N;10
N23DCCN007;Nguyễn Ngọc;Phương;D23CQCN01-N;10
N23DCCN123;Huỳnh Thị Như;Quỳnh;D23CQCN03-N;10
